IUSA Number,Y2019,Y2020,Y2021
00-268-7606,1,1,1
00-326-1245,1,1,1
00-866-7537,1,1,1
00-929-3945,1,1,1
11-815-7221,1,1,1
11-816-2114,1,1,1
11-819-6567,1,1,1
11-825-9795,1,1,1
11-826-0512,1,1,0
11-826-5701,1,1,1
11-826-7210,0,1,1
11-826-7509,1,1,1
11-826-8341,1,1,1
11-826-9760,1,1,1
11-827-1162,1,1,1
11-827-4562,1,1,1
11-827-4711,1,1,1
11-827-5007,1,1,1
11-827-5627,1,1,1
11-827-5726,1,1,1
11-827-6435,1,1,1
11-827-7953,1,1,1
11-828-2045,1,1,1
11-828-4710,0,1,1
11-828-5394,1,1,1
11-829-2036,1,1,1
11-829-2671,1,1,1
11-829-4701,1,1,1
11-829-8066,1,1,1
11-829-9064,1,1,1
11-829-9262,1,1,1
11-830-1811,1,1,1
11-830-3585,1,1,1
11-830-4997,1,1,1
11-830-5069,1,0,0
11-830-6463,1,1,1
11-830-9921,1,1,1
11-831-0630,2,2,2
11-831-1067,1,1,1
11-831-1737,1,1,1
11-831-1760,1,1,1
11-831-4251,1,1,1
11-831-4418,1,1,1
11-831-4921,1,1,1
11-831-5498,1,1,1
11-831-5514,1,1,1
11-831-9524,1,1,1
11-831-9946,1,1,1
11-832-2684,1,1,1
11-832-2932,1,1,1
11-832-3104,1,1,1
11-832-3112,1,1,1
11-832-3500,1,1,1
11-832-4185,1,1,0
11-832-4789,1,1,1
11-833-3699,1,1,1
11-833-4051,0,1,1
11-833-4424,1,1,1
11-833-5322,1,1,0
11-833-5744,1,1,1
11-833-6114,1,1,1
11-833-7351,1,1,1
11-833-8383,1,1,1
11-833-8961,1,1,1
11-833-9878,1,0,0
11-834-0041,1,1,1
11-834-1031,1,1,1
11-834-1486,1,1,1
11-834-1890,1,1,1
11-834-2047,1,1,1
11-834-3219,2,2,2
11-835-2236,1,1,1
11-835-2467,1,1,1
11-835-2558,1,0,0
11-835-2707,1,1,1
11-835-2962,1,1,1
11-835-3036,1,1,1
11-835-3903,1,1,1
11-835-3911,1,1,1
11-835-4695,1,1,1
11-835-4810,1,1,1
11-835-5304,1,1,1
11-835-5585,1,1,1
11-835-8118,1,1,1
11-835-9249,1,1,1
11-836-0510,1,1,1
11-836-1062,1,1,1
11-836-1617,1,1,1
11-836-2177,1,1,1
11-836-3050,1,1,1
11-836-3514,1,1,1
11-836-5352,1,1,1
11-836-8307,1,1,1
11-836-8687,1,0,0
11-836-8745,1,1,1
11-836-8794,1,1,1
11-837-7266,1,1,1
11-837-8074,1,1,1
11-837-9114,1,1,1
11-837-9643,1,1,0
11-838-1730,1,1,1
11-838-5111,1,1,1
11-838-7356,1,1,1
11-839-0525,1,1,1
11-840-1116,1,1,1
11-840-1652,1,1,1
11-840-3344,1,1,1
11-840-3682,1,1,1
11-840-5109,1,1,1
11-840-5299,1,1,1
11-840-5448,1,1,1
11-840-7303,1,1,1
11-840-9093,1,1,1
11-840-9218,1,1,1
11-841-1131,2,2,2
11-841-3038,1,0,0
11-841-4374,1,1,1
11-841-4515,1,0,1
11-842-8747,1,1,1
11-843-6443,1,1,0
11-843-8548,1,1,1
11-843-8845,1,0,0
