Version Year,IUSA Number,Company Name,Address,City,State,ZIP Code,Primary SIC Description
2020,43-355-8116,KAYA,2000 Smallman St # 9,Pittsburgh,PA,15222,Restaurants
2020,73-208-5301,KAZI Automotive,625 W Warrington Ave,Pittsburgh,PA,15226,Automobile Repairing & Service
2020,11-853-1920,Kelly O's Diner,1130 Perry Hwy # 28,Pittsburgh,PA,15237,Restaurants
2020,42-115-7427,Kelly O's Diner In The Strip,100 24th St,Pittsburgh,PA,15222,Restaurants
2020,21-874-6642,Kelly's Bar & Lounge,6012 Penn Ave,Pittsburgh,PA,15206,Cocktail Lounges
2020,40-869-8079,Kellys Korner,285 45th St,Pittsburgh,PA,15201,Restaurants
2020,69-440-2033,Kemp's Snack Shack Restrnt,,Pittsburgh,PA,15238,Restaurants
2020,71-151-5100,Ketchum Pleon,6 Ppg Pl # 12,Pittsburgh,PA,15222,Restaurants
2020,11-834-3219,Kevin's Deli,4415 5th Ave # 120,Pittsburgh,PA,15213,Restaurants
2020,73-790-7078,Keystone Cafe,357 6th Ave,Pittsburgh,PA,15222,Restaurants
2020,35-546-2813,Keystone Grill House,826 Linden Ave E,Pittsburgh,PA,15235,Cocktail Lounges
2020,42-345-0624,KFC,210 Rodi Rd,Pittsburgh,PA,15235,Restaurants
2020,40-075-4826,KFC,1 Landings Dr,Pittsburgh,PA,15238,Restaurants
2020,31-361-5890,KFC,4915 Baum Blvd,Pittsburgh,PA,15213,Restaurants
2020,11-851-2938,KFC,5130 Clairton Blvd,Pittsburgh,PA,15236,Restaurants
2020,11-852-5591,KFC,85 Blazier Dr,Pittsburgh,PA,15237,Restaurants
2020,11-841-1131,KFC,278 Yost Blvd,Pittsburgh,PA,15221,Restaurants
2020,11-831-0630,KFC,1100 Brownsville Rd,Pittsburgh,PA,15210,Restaurants
2020,71-777-0763,Khoo's Garden,1130 Perry Hwy # 26,Pittsburgh,PA,15237,Restaurants
2020,72-972-5296,Ki Pollo,4407 Butler St,Pittsburgh,PA,15201,Restaurants
2020,73-203-3291,Ki Ramen,4401 Butler St,Pittsburgh,PA,15201,Restaurants
2020,43-554-5760,Kickback Pinball Cafe,4326 Butler St,Pittsburgh,PA,15201,Coffee Shops
2020,74-813-8836,Kiin Lao & Thai Eatery,5846 Forbes Ave,Pittsburgh,PA,15217,Restaurants
2020,40-420-8198,Millvale Diner,307 North Ave,Millvale,PA,15209,Restaurants
2020,43-355-8116,KAYA,2000 Smallman St # 9,Pittsburgh,PA,15222,Restaurants
2020,73-208-5301,KAZI Automotive,625 W Warrington Ave,Pittsburgh,PA,15226,Automobile Repairing & Service
2020,11-853-1920,Kelly O's Diner,1130 Perry Hwy # 28,Pittsburgh,PA,15237,Restaurants
2020,42-115-7427,Kelly O's Diner In The Strip,100 24th St,Pittsburgh,PA,15222,Restaurants
2020,21-874-6642,Kelly's Bar & Lounge,6012 Penn Ave,Pittsburgh,PA,15206,Cocktail Lounges
2020,40-869-8079,Kellys Korner,285 45th St,Pittsburgh,PA,15201,Restaurants
2020,69-440-2033,Kemp's Snack Shack Restrnt,,Pittsburgh,PA,15238,Restaurants
