"Version Year","IUSA Number","Company Name","Executive First Name","Executive Last Name","Executive Title","Executive Gender","Address","City","State","ZIP Code","ZIP Four","County","Phone Number Combined","Primary SIC Code","Primary SIC Description","SIC Code 1","SIC Code 1 Description","SIC Code 1 Ad Size","SIC Code 1 Year Appeared","SIC Code 2","SIC Code 2 Description","SIC Code 3","SIC Code 3 Description","SIC Code 4","SIC Code 4 Description","SIC Code 5","SIC Code 5 Description","SIC Code 6","SIC Code 6 Description","SIC Code 7","SIC Code 7 Description","SIC Code 8","SIC Code 8 Description","SIC Code 9","SIC Code 9 Description","SIC Code 10","SIC Code 10 Description","Primary NAICS","Primary NAICS Description","NAICS 1","NAICS 1 Description","NAICS 2","NAICS 2 Description","NAICS 3","NAICS 3 Description","NAICS 4","NAICS 4 Description","NAICS 5","NAICS 5 Description","NAICS 6","NAICS 6 Description","NAICS 7","NAICS 7 Description","NAICS 8","NAICS 8 Description","NAICS 9","NAICS 9 Description","NAICS 10","NAICS 10 Description","Location Employee Size Range","Location Employee Size Actual","Location Sales Volume Range","Location Sales Volume Actual","Type of Business","Location Type","Parent IUSA Number","Subsidiary IUSA Number","Firm or Individual","Record Type","Corporate Employee Size Actual","Corporate Sales Volume Actual","Years In Database","Year Established","Home Business"
"2020","74-279-7019","Waffles Incaffinated","Olga","Watkins","Manager","Female","456 5th Ave","Pittsburgh","PA","15219","1712","Allegheny","(412) 290-7801","581208","Restaurants","581208","Restaurants","","","","","","","","","","","","","","","","","","","","","72251117","Full-Service Restaurants","72251117","Full-Service Restaurants","","","","","","","","","","","","","","","","","","","10 to 19","00018","$500,000 - 1 Million","$914,000","Private","Single Loc","000000000","000000000","2","Verified","000000","$0","4","","No"
"2021","74-279-7019","Waffles Incaffinated","Olga","Watkins","Manager","Female","456 5th Ave","Pittsburgh","PA","15219","1712","Allegheny","(412) 290-7801","581208","Restaurants","581208","Restaurants","","","","","","","","","","","","","","","","","","","","","72251117","Full-Service Restaurants","72251117","Full-Service Restaurants","","","","","","","","","","","","","","","","","","","10 to 19","00018","$500,000 - 1 Million","$914,000","Private","Single Loc","000000000","000000000","2","Verified","000000","$0","4","","No"
"2019","74-279-7019","Waffles Incaffinated","Olga","Watkins","Manager","Female","456 5th Ave","Pittsburgh","PA","15219","1712","Allegheny","(412) 290-7801","581208","Restaurants","581208","Restaurants","","","","","","","","","","","","","","","","","","","","","72251117","Full-Service Restaurants","72251117","Full-Service Restaurants","","","","","","","","","","","","","","","","","","","10 to 19","00018","$500,000 - 1 Million","$914,000","Private","Single Loc","000000000","000000000","2","Verified","000000","$0","4","","No"
"2021","73-316-8412","Wahlburgers","","","","","6242 Northway Dr","Pittsburgh","PA","15237","3040","Allegheny","(412) 536-3991","581208","Restaurants","581208","Restaurants","","","581206","Foods-Carry Out","","","","","","","","","","","","","","","","","72251117","Full-Service Restaurants","72251117","Full-Service Restaurants","72251301","Limited-Service Restaurants","","","","","","","","","","","","","","","","","5 to 9","00008","Less Than $500,000","$406,000","Private","Branch","414446128","000000000","2","Verified","000000","$0","6","","No"
"2020","73-316-8412","Wahlburgers","","","","","6242 Northway Dr","Pittsburgh","PA","15237","3040","Allegheny","(412) 536-3991","581208","Restaurants","581208","Restaurants","","","581206","Foods-Carry Out","","","","","","","","","","","","","","","","","72251117","Full-Service Restaurants","72251117","Full-Service Restaurants","72251301","Limited-Service Restaurants","","","","","","","","","","","","","","","","","5 to 9","00008","","$0","Private","Branch","414446128","000000000","2","Verified","000000","$0","6","","No"
"2020","65-907-6541","Wai Wai Chinese Cuisine","Leo","Xie","Owner","Male","4717 Liberty Ave","Pittsburgh","PA","15224","2025","Allegheny","(412) 621-0133","581208","Restaurants","581208","Restaurants","","","","","","","","","","","","","","","","","","","","","72251117","Full-Service Restaurants","72251117","Full-Service Restaurants","","","","","","","","","","","","","","","","","","","5 to 9","00008","Less Than $500,000","$406,000","Private","Single Loc","000000000","000000000","2","Verified","000000","$0","16","","No"
"2021","65-907-6541","Wai Wai Chinese Cuisine","Leo","Xie","Owner","Male","4717 Liberty Ave","Pittsburgh","PA","15224","2025","Allegheny","(412) 621-0133","581208","Restaurants","581208","Restaurants","","","","","","","","","","","","","","","","","","","","","72251117","Full-Service Restaurants","72251117","Full-Service Restaurants","","","","","","","","","","","","","","","","","","","5 to 9","00008","Less Than $500,000","$406,000","Private","Single Loc","000000000","000000000","2","Verified","000000","$0","16","","No"
"2019","65-907-6541","Wai Wai Chinese Cuisine","Leo","Xie","Owner","Male","4717 Liberty Ave","Pittsburgh","PA","15224","2025","Allegheny","(412) 621-0133","581208","Restaurants","581208","Restaurants","","","","","","","","","","","","","","","","","","","","","72251117","Full-Service Restaurants","72251117","Full-Service Restaurants","","","","","","","","","","","","","","","","","","","5 to 9","00008","Less Than $500,000","$406,000","Private","Single Loc","000000000","000000000","2","Verified","000000","$0","16","","No"
"2021","71-704-3691","Walids Fish & Chicken","Walid Y","Ifrawan","Owner","Male","1000 Chartiers Ave","Pittsburgh","PA","15220","4867","Allegheny","(412) 922-4666","581208","Restaurants","581208","Restaurants","","","","","","","","","","","","","","","","","","","","","72251117","Full-Service Restaurants","72251117","Full-Service Restaurants","","","","","","","","","","","","","","","","","","","5 to 9","00008","Less Than $500,000","$406,000","Private","Single Loc","000000000","000000000","2","Verified","000000","$0","8","","No"
"2020","71-704-3691","Walids Fish & Chicken","Walid Y","Ifrawan","Owner","Male","1000 Chartiers Ave","Pittsburgh","PA","15220","4867","Allegheny","(412) 922-4666","581208","Restaurants","581208","Restaurants","","","","","","","","","","","","","","","","","","","","","72251117","Full-Service Restaurants","72251117","Full-Service Restaurants","","","","","","","","","","","","","","","","","","","5 to 9","00008","Less Than $500,000","$406,000","Private","Single Loc","000000000","000000000","2","Verified","000000","$0","8","","No"
