IUSA Number,Y2019,Y2020,Y2021,Company Name,Address,City,State,ZIP Code,Primary SIC Description
00-268-7606,1,1,1,Nicholas Coffee,23 Market Sq # 1,Pittsburgh,PA,15222,Coffee & Tea
00-326-1245,1,1,1,Grant Bar Inc,114 Grant Ave,Pittsburgh,PA,15209,Restaurants
00-866-7537,1,1,1,Ivy Restaurant,360 Castle Shannon Blvd,Pittsburgh,PA,15234,Restaurants
00-929-3945,1,1,1,Schneider's Dairy Inc,726 Frank St,Pittsburgh,PA,15227,Dairy Products-Wholesale
11-815-7221,1,1,1,Delallo's Restaurant-Catering,91 Fort Couch Rd,Pittsburgh,PA,15241,Restaurants
11-816-2114,1,1,1,Crowne Plaza Hotel-Suites,164 Fort Couch Rd,Pittsburgh,PA,15241,Hotels & Motels
11-816-2114,1,1,1,Crowne Plaza Suites Pittsburgh,164 Fort Couch Rd,Pittsburgh,PA,15241,Hotels & Motels
11-816-2114,1,1,1,Crowne Plaza-South,164 Fort Couch Rd,Pittsburgh,PA,15241,Hotels & Motels
11-819-6567,1,1,1,Pizza Hut,271 1/2 Clairton Blvd # 1-2,Pittsburgh,PA,15236,Pizza
11-825-9795,1,1,1,Supreme Pizza,4012 Butler St,Pittsburgh,PA,15201,Pizza
11-826-0512,1,1,0,Hambone's,4207 Butler St,Pittsburgh,PA,15201,Restaurants
11-826-5701,1,1,1,Arby's,4260 Ohio River Blvd,Bellevue,PA,15202,Restaurants
11-826-5701,1,1,1,Arby's,4260 Ohio River Blvd,Pittsburgh,PA,15202,Restaurants
11-826-7210,0,1,1,Dairy Queen,4276 Ohio River Blvd,Pittsburgh,PA,15202,Ice Cream Parlors
11-826-7509,1,1,1,Eat'n Park,1002 Ohio River Blvd,Pittsburgh,PA,15202,Restaurants
11-826-8341,1,1,1,Grant St Tavern,310 Grant St # A,Pittsburgh,PA,15219,Restaurants
11-826-9760,1,1,1,Mc Donald's,4557 Ohio River Blvd,Pittsburgh,PA,15202,Restaurants
